iter	Passed	Remaining
592	7065	4849
593	7077	4837
594	7088	4824
595	7099	4812
596	7111	4800
597	7122	4788
598	7133	4775
599	7146	4764
600	7156	4751
601	7167	4738
602	7179	4727
603	7191	4714
604	7202	4702
605	7214	4690
606	7225	4678
607	7237	4666
608	7249	4654
609	7260	4642
610	7272	4630
611	7283	4617
612	7295	4605
613	7306	4593
614	7318	4581
615	7329	4569
616	7341	4557
617	7351	4544
618	7363	4532
619	7374	4519
620	7385	4507
621	7397	4495
622	7409	4483
623	7420	4471
624	7431	4458
625	7444	4447
626	7455	4435
627	7466	4422
628	7478	4411
629	7489	4398
630	7501	4386
631	7513	4374
632	7524	4362
633	7535	4350
634	7547	4338
635	7558	4325
636	7571	4314
637	7582	4302
638	7592	4289
639	7605	4277
640	7616	4265
641	7628	4253
642	7640	4241
643	7651	4229
644	7661	4217
645	7673	4204
646	7684	4192
647	7694	4179
648	7705	4167
649	7716	4155
650	7727	4142
651	7739	4131
652	7750	4118
653	7761	4106
654	7774	4094
655	7786	4082
656	7797	4070
657	7808	4058
658	7819	4045
659	7830	4033
660	7841	4021
661	7853	4009
662	7864	3997
663	7876	3985
664	7887	3973
665	7898	3961
666	7910	3949
667	7921	3937
668	7934	3925
669	7945	3913
670	7956	3901
671	7969	3889
672	7980	3877
673	7989	3864
674	8000	3852
675	8012	3840
676	8023	3827
677	8034	3815
678	8046	3803
679	8056	3791
680	8067	3779
681	8078	3767
682	8090	3754
683	8101	3742
684	8112	3730
685	8123	3718
686	8136	3706
687	8147	3694
688	8160	3683
689	8172	3671
690	8182	3659
691	8195	3647
692	8207	3635
693	8216	3622
694	8227	3610
695	8238	3598
696	8250	3586
697	8261	3574
698	8273	3562
699	8285	3550
700	8297	3539
701	8309	3527
702	8321	3515
703	8333	3503
704	8345	3492
705	8357	3480
706	8369	3468
707	8380	3456
708	8392	3444
709	8405	3433
710	8416	3420
711	8428	3409
712	8439	3396
713	8449	3384
714	8460	3372
715	8473	3360
716	8483	3348
717	8493	3336
718	8504	3323
719	8514	3311
720	8526	3299
721	8537	3287
722	8548	3275
723	8560	3263
724	8572	3251
725	8583	3239
726	8596	3228
727	8607	3215
728	8618	3203
729	8629	3191
730	8640	3179
731	8652	3167
732	8664	3156
733	8676	3144
734	8688	3132
735	8700	3120
736	8711	3108
737	8724	3097
738	8734	3084
739	8746	3072
740	8757	3061
741	8769	3049
742	8781	3037
743	8794	3025
744	8805	3014
745	8818	3002
746	8829	2990
747	8841	2978
748	8852	2966
749	8863	2954
750	8875	2942
751	8887	2930
752	8898	2918
753	8909	2906
754	8920	2894
755	8932	2882
756	8943	2870
757	8956	2859
758	8967	2847
759	8978	2835
760	8989	2823
761	9001	2811
762	9012	2799
763	9024	2787
764	9035	2775
765	9046	2763
766	9058	2751
767	9069	2739
768	9080	2727
769	9091	2715
770	9103	2703
771	9113	2691
772	9125	2679
773	9136	2667
774	9148	2655
775	9160	2644
776	9171	2632
777	9182	2620
778	9193	2608
779	9205	2596
780	9216	2584
781	9228	2572
782	9239	2560
783	9251	2548
784	9262	2536
785	9273	2524
786	9284	2512
787	9295	2500
788	9307	2489
789	9319	2477
790	9330	2465
791	9341	2453
792	9353	2441
793	9364	2429
794	9376	2417
795	9388	2406
796	9400	2394
797	9411	2382
798	9423	2370
799	9434	2358
800	9446	2346
801	9458	2335
802	9470	2323
803	9482	2311
804	9493	2299
805	9504	2287
806	9513	2275
807	9525	2263
808	9536	2251
809	9548	2239
810	9559	2227
811	9572	2216
812	9583	2204
813	9595	2192
814	9606	2180
815	9613	2167
816	9624	2155
817	9635	2143
818	9646	2131
819	9658	2120
820	9669	2108
821	9681	2096
822	9692	2084
823	9702	2072
824	9715	2060
825	9727	2049
826	9738	2037
827	9750	2025
828	9762	2013
829	9773	2001
830	9785	1990
831	9796	1978
832	9808	1966
833	9819	1954
834	9830	1942
835	9843	1930
836	9853	1918
837	9865	1907
838	9877	1895
839	9889	1883
840	9900	1871
841	9914	1860
842	9925	1848
843	9936	1836
844	9947	1824
845	9958	1812
846	9967	1800
847	9980	1788
848	9990	1776
849	10001	1764
850	10013	1753
851	10025	1741
852	10038	1729
853	10049	1718
854	10060	1706
855	10073	1694
856	10085	1682
857	10096	1670
858	10107	1659
859	10119	1647
860	10129	1635
861	10141	1623
862	10154	1611
863	10165	1600
864	10177	1588
865	10188	1576
866	10200	1564
867	10211	1552
868	10222	1541
869	10233	1529
870	10244	1517
871	10255	1505
872	10266	1493
873	10278	1481
874	10290	1470
875	10301	1458
876	10313	1446
877	10324	1434
878	10336	1422
879	10347	1411
880	10358	1399
881	10368	1387
882	10380	1375
883	10392	1363
884	10405	1352
885	10418	1340
886	10430	1328
887	10442	1317
888	10454	1305
889	10466	1293
890	10478	1281
891	10490	1270
892	10503	1258
893	10514	1246
894	10525	1234
895	10537	1223
896	10547	1211
897	10559	1199
898	10572	1187
899	10583	1175
900	10595	1164
901	10607	1152
902	10618	1140
903	10629	1128
904	10641	1117
905	10651	1105
906	10662	1093
907	10674	1081
908	10687	1069
909	10698	1058
910	10709	1046
911	10719	1034
912	10730	1022
913	10742	1010
914	10754	999
915	10765	987
916	10776	975
917	10786	963
918	10798	951
919	10809	939
920	10819	928
921	10830	916
922	10842	904
923	10852	892
924	10865	880
925	10876	869
926	10887	857
927	10899	845
928	10911	833
929	10922	822
930	10935	810
931	10946	798
932	10957	786
933	10969	775
934	10980	763
935	10990	751
936	11002	739
937	11012	727
938	11022	716
939	11034	704
940	11045	692
941	11056	680
942	11068	669
943	11080	657
944	11093	645
945	11104	633
946	11116	622
947	11128	610
948	11138	598
949	11148	586
950	11161	575
951	11171	563
952	11182	551
953	11195	539
954	11207	528
955	11217	516
956	11229	504
957	11240	492
958	11252	481
959	11263	469
960	11274	457
961	11285	445
962	11297	434
963	11308	422
964	11319	410
965	11331	398
966	11342	387
967	11353	375
968	11364	363
969	11374	351
970	11386	340
971	11398	328
972	11410	316
973	11420	304
974	11432	293
975	11443	281
976	11455	269
977	11466	257
978	11478	246
979	11492	234
980	11504	222
981	11515	211
982	11526	199
983	11537	187
984	11549	175
985	11562	164
986	11572	152
987	11583	140
988	11595	128
989	11606	117
990	11617	105
991	11628	93
992	11639	82
993	11652	70
994	11664	58
995	11674	46
996	11685	35
997	11697	23
998	11707	11
999	11718	0
